,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Time,Temperature,FDate,FTime,Electricity
0,0,0,0,1,01-01,01:00,-2.0,2017-01-01,01:00,205.28124999999997
1,1,1,1,2,01-01,02:00,-3.0,2017-01-01,02:00,197.84374999999997
2,2,2,2,3,01-01,03:00,-3.0,2017-01-01,03:00,210.49999999999997
3,3,3,3,4,01-01,04:00,-3.0,2017-01-01,04:00,201.24999999999997
4,4,4,4,5,01-01,05:00,-3.0,2017-01-01,05:00,209.87499999999997
5,5,5,5,6,01-01,06:00,2.0,2017-01-01,06:00,205.62499999999997
6,6,6,6,7,01-01,07:00,4.0,2017-01-01,07:00,202.125
7,7,7,7,8,01-01,08:00,4.0,2017-01-01,08:00,201.21874999999997
8,8,8,8,9,01-01,09:00,4.0,2017-01-01,09:00,200.65624999999994
9,9,9,9,10,01-01,10:00,4.0,2017-01-01,10:00,196.87499999999994
10,10,10,10,11,01-01,11:00,6.0,2017-01-01,11:00,191.24999999999997
11,11,11,11,12,01-01,12:00,6.0,2017-01-01,12:00,196.15625
12,12,12,12,13,01-01,13:00,7.0,2017-01-01,13:00,193.65624999999997
13,13,13,13,14,01-01,14:00,8.0,2017-01-01,14:00,194.125
14,14,14,14,15,01-01,15:00,8.0,2017-01-01,15:00,194.21874999999997
15,15,15,15,16,01-01,16:00,6.0,2017-01-01,16:00,201.74999999999994
16,16,16,16,17,01-01,17:00,6.0,2017-01-01,17:00,195.15624999999994
17,17,17,17,18,01-01,18:00,5.0,2017-01-01,18:00,189.90625
18,18,18,18,19,01-01,19:00,4.0,2017-01-01,19:00,197.90625
19,19,19,19,20,01-01,20:00,4.0,2017-01-01,20:00,197.46874999999997
20,20,20,20,21,01-01,21:00,3.0,2017-01-01,21:00,192.31249999999994
21,21,21,21,22,01-01,22:00,3.0,2017-01-01,22:00,191.3125
22,22,22,22,23,01-01,23:00,4.0,2017-01-01,23:00,204.65624999999994
23,23,23,23,24,01-01,00:00,3.0,2017-01-01,00:00,197.03124999999994
24,24,24,24,25,01-02,01:00,4.0,2017-01-02,01:00,207.5624999999999
25,25,25,25,26,01-02,02:00,4.0,2017-01-02,02:00,200.31249999999991
26,26,26,26,27,01-02,03:00,4.0,2017-01-02,03:00,210.62500000000003
27,27,27,27,28,01-02,04:00,4.0,2017-01-02,04:00,204.56249999999997
28,28,28,28,29,01-02,05:00,4.0,2017-01-02,05:00,204.46875
29,29,29,29,30,01-02,06:00,3.9,2017-01-02,06:00,214.43749999999991
30,30,30,30,31,01-02,07:00,4.0,2017-01-02,07:00,200.49999999999994
31,31,31,31,32,01-02,08:00,3.0,2017-01-02,08:00,215.31249999999997
32,32,32,32,33,01-02,09:00,4.0,2017-01-02,09:00,198.62499999999991
33,33,33,33,34,01-02,10:00,5.0,2017-01-02,10:00,205.34374999999997
34,34,34,34,35,01-02,11:00,6.0,2017-01-02,11:00,194.93749999999994
35,35,35,35,36,01-02,12:00,6.0,2017-01-02,12:00,199.34375000000003
36,36,36,36,37,01-02,13:00,8.0,2017-01-02,13:00,196.78124999999997
37,37,37,37,38,01-02,14:00,9.0,2017-01-02,14:00,201.125
38,38,38,38,39,01-02,15:00,7.0,2017-01-02,15:00,202.78125
39,39,39,39,40,01-02,16:00,5.0,2017-01-02,16:00,205.21874999999991
40,40,40,40,41,01-02,17:00,2.0,2017-01-02,17:00,206.15624999999991
41,41,41,41,42,01-02,18:00,-1.0,2017-01-02,18:00,194.15624999999997
42,42,42,42,43,01-02,19:00,-1.0,2017-01-02,19:00,204.34374999999994
43,43,43,43,44,01-02,20:00,-2.0,2017-01-02,20:00,204.78124999999994
44,44,44,44,45,01-02,21:00,-4.0,2017-01-02,21:00,207.37499999999997
45,45,45,45,46,01-02,22:00,-4.0,2017-01-02,22:00,214.53125
46,46,46,46,47,01-02,23:00,-6.0,2017-01-02,23:00,209.24999999999997
47,47,47,47,48,01-02,00:00,-6.0,2017-01-02,00:00,201.125
