,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Time,Electricity,Temperature
0,0,0,0,1,01-01,01:00,122.30000299999998,-2.0
1,1,1,1,2,01-01,02:00,136.69589199999996,-3.0
2,2,2,2,3,01-01,03:00,144.39758299999994,-3.0
3,3,3,3,4,01-01,04:00,149.71241799999993,-3.0
4,4,4,4,5,01-01,05:00,145.835617,-3.0
5,5,5,5,6,01-01,06:00,117.94834900000002,2.0
6,6,6,6,7,01-01,07:00,121.368797,4.0
7,7,7,7,8,01-01,08:00,107.25472300000003,4.0
8,8,8,8,9,01-01,09:00,104.21797899999997,4.0
9,9,9,9,10,01-01,10:00,97.05591599999997,4.0
10,10,10,10,11,01-01,11:00,94.344872,6.0
11,11,11,11,12,01-01,12:00,88.995476,6.0
12,12,12,12,13,01-01,13:00,97.144638,7.0
13,13,13,13,14,01-01,14:00,97.77429199999995,8.0
14,14,14,14,15,01-01,15:00,119.32920099999996,8.0
15,15,15,15,16,01-01,16:00,121.19388600000003,6.0
16,16,16,16,17,01-01,17:00,109.72910299999998,6.0
17,17,17,17,18,01-01,18:00,109.87081099999997,5.0
18,18,18,18,19,01-01,19:00,43.98855999999999,4.0
19,19,19,19,20,01-01,20:00,41.99158099999999,4.0
20,20,20,20,21,01-01,21:00,52.212757,3.0
21,21,21,21,22,01-01,22:00,59.87157799999998,3.0
22,22,22,22,23,01-01,23:00,57.166102999999985,4.0
23,23,23,23,24,01-01,00:00,77.800735,3.0
24,24,24,24,25,01-02,01:00,91.17607899999996,4.0
25,25,25,25,26,01-02,02:00,102.065247,4.0
26,26,26,26,27,01-02,03:00,109.13445300000001,4.0
27,27,27,27,28,01-02,04:00,112.51519800000001,4.0
28,28,28,28,29,01-02,05:00,114.024391,4.0
29,29,29,29,30,01-02,06:00,114.90410599999991,3.9
30,30,30,30,31,01-02,07:00,116.03463000000002,4.0
31,31,31,31,32,01-02,08:00,110.13011899999998,3.0
32,32,32,32,33,01-02,09:00,101.52003500000002,4.0
33,33,33,33,34,01-02,10:00,103.97227499999998,5.0
34,34,34,34,35,01-02,11:00,91.48696099999998,6.0
35,35,35,35,36,01-02,12:00,60.99293099999999,6.0
36,36,36,36,37,01-02,13:00,54.809340999999996,8.0
37,37,37,37,38,01-02,14:00,55.29758099999999,9.0
38,38,38,38,39,01-02,15:00,74.00131199999998,7.0
39,39,39,39,40,01-02,16:00,66.63841199999999,5.0
40,40,40,40,41,01-02,17:00,75.01489299999999,2.0
41,41,41,41,42,01-02,18:00,81.45173599999997,-1.0
42,42,42,42,43,01-02,19:00,104.123741,-1.0
43,43,43,43,44,01-02,20:00,107.906975,-2.0
44,44,44,44,45,01-02,21:00,124.141479,-4.0
45,45,45,45,46,01-02,22:00,136.09460399999998,-4.0
46,46,46,46,47,01-02,23:00,150.64636199999995,-6.0
47,47,47,47,48,01-02,00:00,162.55746500000004,-6.0
48,48,48,48,49,01-03,01:00,170.23016399999995,-7.0
49,49,49,49,50,01-03,02:00,173.70111100000003,-6.0
50,50,50,50,51,01-03,03:00,174.994797,-6.0
51,51,51,51,52,01-03,04:00,166.42971799999992,-4.0
52,52,52,52,53,01-03,05:00,162.23554999999996,-3.0
53,53,53,53,54,01-03,06:00,152.44044500000004,-2.0
54,54,54,54,55,01-03,07:00,148.00282299999998,-1.0
55,55,55,55,56,01-03,08:00,139.299316,-1.0
56,56,56,56,57,01-03,09:00,122.52006500000002,2.0
57,57,57,57,58,01-03,10:00,129.42733799999996,2.0
